ID,Restaurant,Address,Time,Price,District,PriceH,PriceL,Rating,ReviewCount
1044,"Bún Mọc, Bánh Canh Gạo & Bún Gạo - Phạm Văn Chí","290 Phạm Văn Chí, P. 4, Quận 6, TP. HCM",05:38 - 10:00,23.000 - 25.000,Quận 6,25000,23000,8.6,1
1045,Gà Ta Sơn Ca - Cháo & Gỏi Gà,"180A Phạm Văn Chí, Quận 6, TP. HCM",,20.000 - 20.000,Quận 6,20000,20000,3.65,4
1049,Hai Be - Cơm Tấm & Bún Thịt Nướng - Chợ Lớn,"255 Chợ Lớn, P. 11, Quận 6, TP. HCM",06:00 - 16:29,25.000 - 35.000,Quận 6,35000,25000,5.8,5
1050,Ốc 235A,"235A Mai Xuân Thưởng, P. 6, Quận 6, TP. HCM",,50.000 - 110.000,Quận 6,110000,50000,6.917073170731708,41
1051,Bắp Rang Bơ - Hậu Giang,"188 Hậu Giang, P. 6, Quận 6, TP. HCM",,10.000 - 20.000,Quận 6,20000,10000,10.0,1
1055,Gà Rán Chicken Plus - Bà Hom,"192 Bà Hom, P. 13, Quận 6, TP. HCM",,35.000 - 219.000,Quận 6,219000,35000,2.8,1
1056,Phở & Lẩu Bò - Chợ Lớn,"63/3 Nguyễn Thị Nhỏ, P. 2, Quận 6, TP. HCM",06:20 - 21:20,35.000 - 55.000,Quận 6,55000,35000,7.394,100
1057,Quán Ông Mập - Bún Mắm & Bún Thái,"93/4 Nguyễn Văn Luông, P. 10, Quận 6, TP. HCM",08:00 - 20:00,50.000 - 70.000,Quận 6,70000,50000,9.4,1
1058,Cô Mai - Bánh Hot Dog - 146 Lê Quang Sung,"146 Lê Quang Sung, P. 6, Quận 6, TP. HCM",,2.000 - 10.000,Quận 6,10000,2000,10.0,1
1059,Bánh Cuốn Nóng Anh Thư - 200/1 Bình Tiên,"200/1 Bình Tiên, P. 4, Quận 6, TP. HCM",,10.000 - 40.000,Quận 6,40000,10000,6.2,1
1060,Ly Ly Nướng - Chi Lăng,"199/7 Lê Quang Sung, Quận 6, TP. HCM",,15.000 - 60.000,Quận 6,60000,15000,8.733333333333334,3
1061,Vú Heo Nướng & Phá Lấu Bò Chị Dung 199,"199 Lê Quang Sung, Quận 6, TP. HCM",,5.000 - 20.000,Quận 6,20000,5000,2.0,1
1063,Anna - Bánh Mì Thổ Nhĩ Kỳ - Hậu Giang,"888 Hậu Giang, P. 12, Quận 6, TP. HCM",00:00 - 23:59,18.000 - 30.000,Quận 6,30000,18000,6.7,2
1064,Da Gà Chiên Nước Mắm - Đường Số 10,"120/2 Đường Số 10, P. 13, Quận 6, TP. HCM",00:00 - 23:59,0 - 0,Quận 6,0,0,9.4,1
1065,Bánh Tráng Út Hạnh,"Kios 12 Đường Số 32, P. 10, Quận 6, TP. HCM",,10.000 - 40.000,Quận 6,40000,10000,6.540000000000001,10
1066,Gà Rán Popeyes - Nguyễn Văn Luông,"500C Nguyễn Văn Luông, P. 12, Quận 6, TP. HCM",,30.000 - 150.000,Quận 6,150000,30000,6.404,50
1067,Mì Cay Gochu - Nguyễn Văn Luông,"409 Nguyễn Văn Luông, P. 12, Quận 6, TP. HCM",,30.000 - 50.000,Quận 6,50000,30000,5.92,65
1068,Gà Rán & Burger McDonald's Phu Lam,"718Bis Kinh Dương Vương, P. 13, Quận 6, TP. HCM",07:00 - 22:50,30.000 - 80.000,Quận 6,80000,30000,7.166666666666667,60
1069,Lotteria - Bình Phú,"211 - 213 Bình Phú, P. 11, Quận 6, TP. HCM",07:30 - 22:00,30.000 - 110.000,Quận 6,110000,30000,6.115151515151515,33
1070,Long Ký - Cơm Gà Da Rất Giòn,"98 Chợ Lớn, P. 11, Quận 6, TP. HCM",,35.000 - 39.000,Quận 6,39000,35000,8.027586206896553,29
1071,Cơm Tấm 3 Chị Em,"733 Lò Gốm, P. 9, Quận 6, TP. HCM",,25.000 - 50.000,Quận 6,50000,25000,10.0,2
1072,Kore - Mì Cay 7 Cấp Độ Hàn Quốc - An Dương Vương,"416 An Dương Vương, P. 10, Quận 6, TP. HCM",,0 - 0,Quận 6,0,0,9.546666666666665,30
1073,Bún Đậu Mắm Tôm Hai Anh Em - Gia Truyền Gốc Hà Nội - Hậu Giang,"1001 Hậu Giang, P. 11, Quận 6, TP. HCM",,30.000 - 60.000,Quận 6,60000,30000,7.428571428571429,7
1074,Mến - Bún Chả Cá Sứa Nha Trang - Hậu Giang,"208 Hậu Giang, P. 9, Quận 6, TP. HCM",00:00 - 02:00 | 06:35 - 23:59,20.000 - 30.000,Quận 6,30000,20000,9.231818181818182,88
1075,Yoko Sushi,"36/46/4 Kinh Dương Vương, P. 13, Quận 6, TP. HCM",,10.000 - 79.000,Quận 6,79000,10000,8.0,19
1076,Texas Chicken - Hậu Giang,"176C-176D Hậu Giang, P. 6, Quận 6, TP. HCM",,50.000 - 220.000,Quận 6,220000,50000,6.358,100
1077,Bún Bò Huế Đông Phong - Hậu Giang,"251 Hậu Giang, P. 5, Quận 6, TP. HCM",06:30 - 21:30,30.000 - 40.000,Quận 6,40000,30000,7.066666666666667,21
1078,Funny Beef - Spaghetti & Beefsteak - Nguyễn Văn Luông,"203C Nguyễn Văn Luông, P. 11, Quận 6, TP. HCM",,25.000 - 95.000,Quận 6,95000,25000,7.502000000000001,100
1079,Doyagi - Ẩm Thực Hàn Quốc,"126 Đường Số 10, Cư Xá Ra Đa, P. 13, Quận 6, TP. HCM",,28.000 - 50.000,Quận 6,50000,28000,7.257142857142857,7
1080,Bánh Canh Cua Út Thảo,"427 Hậu Giang, P. 11, Quận 6, TP. HCM",07:30 - 22:20,35.000 - 180.000,Quận 6,180000,35000,6.52,30
1081,Gà Rán KFC - Hậu Giang,"549 - 551 Hậu Giang, P. 11, Quận 6, TP. HCM",,30.000 - 88.000,Quận 6,88000,30000,6.707407407407407,54
1082,Ty Thy - Gỏi Đu Đủ Thái,"546 An Dương Vương, P. 10, Quận 6, TP. HCM",,15.000 - 50.000,Quận 6,50000,15000,6.220454545454545,88
1083,Cơm Gà Hải Nam - Hậu Giang,"140 Hậu Giang, P. 6, Quận 6, TP. HCM",,41.000 - 105.000,Quận 6,105000,41000,6.957999999999999,100
1084,O Tú - Bún Bò Huế - Chợ Lớn,"256 Chợ Lớn, P. 11, Quận 6, TP. HCM",06:00 - 19:30,20.000 - 30.000,Quận 6,30000,20000,7.58,30
1085,Bánh Cuốn & Bánh Ướt Phú Lâm,"1/1A Tân Hòa Đông, P. 13, Quận 6, TP. HCM",00:00 - 23:59,20.000 - 25.000,Quận 6,25000,20000,1.8,2
1086,Súp Cua Mộc - Hậu Giang,"17C Hậu Giang, P. 2, Quận 6, TP. HCM",07:00 - 21:00,20.000 - 40.000,Quận 6,40000,20000,8.0,1
1087,Mr Béo - Cháo Hàu & Bột Chiên Hải Sản,"500 Hậu Giang, Quận 6, TP. HCM",,7.000 - 30.000,Quận 6,30000,7000,6.67,20
1088,Cơm Gà Xối Mỡ Thạch Lam - Hậu Giang,"313 Hậu Giang, P. 5, Quận 6, TP. HCM",,25.000 - 35.000,Quận 6,35000,25000,3.2,1
1089,Bánh Tráng Út Bình,"449A Phạm Văn Chí, P. 7, Quận 6, TP. HCM",,3.000 - 250.000,Quận 6,250000,3000,7.4,1
1090,Xôi Bình Tiên - Minh Phụng,"88 Minh Phụng, P. 5, Quận 6, TP. HCM",06:05 - 22:30,10.000 - 33.000,Quận 6,33000,10000,7.363636363636363,99
1091,Xuân Mai - Phở & Lẩu Bò,"251D Hậu Giang, P. 5, Quận 6, TP. HCM",,2.000 - 300.000,Quận 6,300000,2000,8.6,8
1092,Bánh Canh Cua Thảo - Cư Xá Phú Lâm B,"E38 Cư Xá Phú Lâm B, P. 13, Quận 6, TP. HCM",08:00 - 22:30,15.000 - 33.000,Quận 6,33000,15000,7.023076923076923,26
1093,"Cơm Gà, Cháo & Gỏi Gà Ta Tường Vy - Bình Phú","34 Bình Phú, P. 11, Quận 6, TP. HCM",,15.000 - 300.000,Quận 6,300000,15000,8.778260869565218,46
1094,Kem Bơ - Trái Cây Tô 251 - Đặng Nguyên Cẩn,"66E Đặng Nguyên Cẩn, P. 14, Quận 6, TP. HCM",00:00 - 02:30 | 08:00 - 23:59,10.000 - 40.000,Quận 6,40000,10000,4.08,5
1096,Phi Phi Quán - Cơm Gà Xối Mỡ,"161/7 Phạm Văn Chí, P. 3, Quận 6, TP. HCM",,30.000 - 50.000,Quận 6,50000,30000,8.984615384615385,39
1097,Tâm Quán - Bún Quậy Phú Quốc - Hậu Giang,"162B Hậu Giang, P. 6, Quận 6, TP. HCM",07:00 - 13:20 | 16:00 - 21:50,35.000 - 55.000,Quận 6,55000,35000,10.0,3
1098,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Phạm Văn Chí,"335 Phạm Văn Chí, P. 3, Quận 6, TP. HCM",,23.000 - 71.000,Quận 6,71000,23000,8.366666666666667,12
1099,Bò Né 3 Ngon - Hậu Giang,"14 Hậu Giang, P. 2, Quận 6, TP. HCM",07:00 - 22:00,25.000 - 45.000,Quận 6,45000,25000,6.351428571428571,70
1100,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Song Hành,"23 Song Hành, P. 10, Quận 6, TP. HCM",,20.000 - 35.000,Quận 6,35000,20000,8.321739130434782,23
1101,Bánh Mì Kebab - Nguyễn Văn Luông,"249A Nguyễn Văn Luông, Quận 6, TP. HCM",06:00 - 19:00,15.000 - 25.000,Quận 6,25000,15000,8.3,2
1102,Nhà Bún Đậu - Bún Đậu Mắm Tôm Hà Nội - Đường Số 23,"131 Đường Số 23, P.11, Quận 6, TP. HCM",,20.000 - 35.000,Quận 6,35000,20000,9.018181818181818,11
1103,"3A Korean Food - Gà Sốt Phô Mai, Mì Cay Hàn Quốc & Tokbokki - Nguyễn Văn Luông","233A Nguyễn Văn Luông, P. 11, Quận 6, TP. HCM",,40.000 - 130.000,Quận 6,130000,40000,5.892307692307692,52
1104,Ốc Thiên Kim - Hậu Giang,"70A Hậu Giang, P. 6, Quận 6, TP. HCM",,10.000 - 80.000,Quận 6,80000,10000,8.666666666666666,3
1106,Lola Korean Food - Tokbokki & Gà Xốt - Phạm Văn Chí,"118 Phạm Văn Chí, P. 4, Quận 6, TP. HCM",,15.000 - 50.000,Quận 6,50000,15000,9.9,2
1107,Cơm Tấm Chay Tịnh Tâm - Minh Phụng,"45A Minh Phụng, P. 5, Quận 6, TP. HCM",,0 - 0,Quận 6,0,0,10.0,1
1108,Ngọc Trinh - Bánh Tráng Siêu Cay - Hậu Giang,"271 Hậu Giang, P. 5, Quận 6, TP. HCM",08:30 - 21:30,10.000 - 15.000,Quận 6,15000,10000,4.357142857142857,14
1110,Tường Trà - Quán Chay Gia Truyền,"158 Trần Văn Kiểu, P. 10, Quận 6, TP. HCM",07:00 - 13:00 | 16:00 - 21:00,27.000 - 40.000,Quận 6,40000,27000,9.25,12
1112,Lotteria - Hậu Giang,"52 Hậu Giang, P. 6, Quận 6, TP. HCM",08:00 - 22:00,10.000 - 150.000,Quận 6,150000,10000,6.6909090909090905,22
1113,Xôi Bánh Mì Hồng Ánh - Ăn Vặt - Minh Phụng,"82 Minh Phụng, P. 5, Quận 6, TP. HCM",00:00 - 23:59,15.000 - 25.000,Quận 6,25000,15000,7.2,1
1115,Gà Ta Thành Công 3,"201 Bình Tiên, P. 8, Quận 6, TP. HCM",00:00 - 23:59,30.000 - 100.000,Quận 6,100000,30000,9.6,1
1116,Công Hằng - Bánh Canh Chả Cá Nha Trang - Cư Xá Phú Lâm B,"D17 Cư Xá Phú Lâm B, P. 13, Quận 6, TP. HCM",07:00 - 23:00,10.000 - 35.000,Quận 6,35000,10000,5.400000000000001,3
1117,Cháo Thập Cẩm 26 - Cháo Triều Châu - Tân Hoà Đông,"26 Tân Hòa Đông, P. 14, Quận 6, TP. HCM",,0 - 0,Quận 6,0,0,9.0,1
1118,Phở Phú Lâm - Phở Bò - Bà Hom,"20/2 Bà Hom, P. 13, Quận 6, TP. HCM",05:30 - 11:30,0 - 0,Quận 6,0,0,9.3,2
1119,Kichi Kichi Lẩu Băng Chuyền - Bình Phú,"123 - 125 - 127 Bình Phú, P. 11, Quận 6, TP. HCM",,30.000 - 300.000,Quận 6,300000,30000,9.288888888888888,9
1120,"By Chíp - Bánh Gạo, Gà Rán & Trà Sữa - Nguyễn Văn Luông","413 Nguyễn Văn Luông, P. 12, Quận 6, TP. HCM",,10.000 - 35.000,Quận 6,35000,10000,8.333333333333334,3
1121,Sushi 107,"107 Đường Số 10, P. 13, Quận 6, TP. HCM",,25.000 - 90.000,Quận 6,90000,25000,7.542105263157896,76
1122,Súp Cua Mộc - Lê Văn Lương,"504 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",06:30 - 22:00,15.000 - 40.000,Quận 7,40000,15000,7.311111111111111,18
1123,Cơm Tấm Phúc Lộc Thọ - 524 Nguyễn Thị Thập,"524 Nguyễn Thị Thập, P. Tân Hưng, Quận 7, TP. HCM",08:00 - 20:30,32.000 - 139.000,Quận 7,139000,32000,7.4799999999999995,5
1124,Thiên Đăng Quán - Cháo Lươn & Miến Lươn,"136A Đường Số 79, P. Tân Quy, Quận 7, TP. HCM",06:00 - 13:00 | 16:00 - 20:00,5.000 - 55.000,Quận 7,55000,5000,9.4,1
1125,Mì Quảng 3 Anh Em - Nguyễn Thị Thập,"577 Nguyễn Thị Thập, P. Tân Phong, Quận 7, TP. HCM",06:00 - 22:00,30.000 - 60.000,Quận 7,60000,30000,5.779999999999999,20
1126,Lotteria - Big C Cityland,"99 Nguyễn Thị Thập, P. Tân Phú, Quận 7, TP. HCM",07:30 - 21:00,30.000 - 100.000,Quận 7,100000,30000,4.5,4
1127,Bánh Mì Pate Hải Phòng - Shop Online,"588/29 Huỳnh Tấn Phát, P. Tân Phú, Quận 7, TP. HCM",06:00 - 23:00,15.000 - 120.000,Quận 7,120000,15000,6.4,1
1128,Phở 24 - Grand View,"Sd5-1-056 Mỹ Khánh 3, 177 Nguyễn Đức Cảnh, P. Tân Phong, Quận 7, TP. HCM",06:00 - 21:45,25.000 - 110.000,Quận 7,110000,25000,6.511111111111111,9
1129,Quán Chay Thuận Đức,"56 Đường 81, P. Tân Quy, Quận 7, TP. HCM",06:00 - 22:00,15.000 - 150.000,Quận 7,150000,15000,5.85,8
1130,Cơm Tấm Ngọc Lý,"715 Huỳnh Tấn Phát, P. Phú Thuận, Quận 7, TP. HCM",07:00 - 19:00,30.000 - 45.000,Quận 7,45000,30000,7.0,1
1131,Bún Bò Sa Tế Sả - Phú Thuận,"B1 Phú Thuận, P. Phú Thuận, Quận 7, TP. HCM",06:00 - 13:00 | 17:00 - 21:00,15.000 - 45.000,Quận 7,45000,15000,7.0249999999999995,16
1132,Cô Ba Loan - Cà Ri Gà - Huỳnh Tấn Phát,"719/4A Huỳnh Tấn Phát, P. Phú Thuận, Quận 7, TP. HCM",07:00 - 22:00,10.000 - 100.000,Quận 7,100000,10000,6.6,2
1133,Bún Bò Huế Thanh Hương - Mai Văn Vĩnh,"60 Mai Văn Vĩnh, P. Tân Quy, Quận 7, TP. HCM",07:00 - 13:30 | 15:30 - 21:45,30.000 - 40.000,Quận 7,40000,30000,2.2,2
1134,Station Food & Tea - Nguyễn Hữu Thọ,"458D Nguyễn Hữu Thọ, P. Tân Hưng, Quận 7, TP. HCM",00:00 - 23:59,19.000 - 55.000,Quận 7,55000,19000,7.6,1
1135,Cơm Tấm Long Xuyên Hằng Thư - Cơm Tấm - Lê Văn Lương,"196 Lê Văn Lương, P. Tân Hưng, Quận 7, TP. HCM",00:00 - 23:59,0 - 0,Quận 7,0,0,10.0,1
1136,A Mìn Quán - Ẩm Thực Trung Hoa - Phú Mỹ Hưng,"8 Đường Số 6, Khu Phố Hưng Vượng 2, P. Tân Phong, Quận 7, TP. HCM",06:45 - 21:00,20.000 - 299.000,Quận 7,299000,20000,7.0,6
1137,Quán Ngon Trảng Bàng - Chính Gốc - Không Chi Nhánh,"68A Nguyễn Thị Thập, P. Bình Thuận, Quận 7, TP. HCM",07:00 - 22:00,30.000 - 110.000,Quận 7,110000,30000,7.99,20
1138,Cơm Tấm Bà Hai - 137 Huỳnh Tấn Phát,"137 Huỳnh Tấn Phát, P. Tân Thuận Đông, Quận 7, TP. HCM",06:00 - 21:15,15.000 - 30.000,Quận 7,30000,15000,8.066666666666666,3
1139,Chị Trâm - Gỏi Cuốn & Hột Vịt Lộn,"728 Huỳnh Tấn Phát, P. Tân Phú (Bên Hông Hẻm 730 Huỳnh Tấn Phát), Quận 7, TP. HCM",06:00 - 21:00,7.000 - 20.000,Quận 7,20000,7000,5.9,4
1140,Cơm Tấm Phúc Lộc Thọ - Huỳnh Tấn Phát,"728 Huỳnh Tấn Phát, P. Tân Phú, Quận 7, TP. HCM",08:00 - 20:00,29.000 - 129.000,Quận 7,129000,29000,6.666666666666667,6
1141,Cháo Lòng Miền Tây - Lê Văn Lương,"121 Lê Văn Lương, P. Tân Kiểng, Quận 7, TP. HCM",00:00 - 23:59,10.000 - 30.000,Quận 7,30000,10000,6.529999999999999,20
1142,Cơm Niêu Thiên Lý - KDC Him Lam,"74 Nguyễn Thị Thập, KDC Him Lam, Quận 7, TP. HCM",,40.000 - 300.000,Quận 7,300000,40000,8.605263157894736,38
1143,Bánh Canh Cua Ngọc Trinh - Trần Xuân Soạn,"867 Trần Xuân Soạn, P. Tân Hưng, Quận 7, TP. HCM",,20.000 - 30.000,Quận 7,30000,20000,7.098,100
1144,Cơm Tấm Long - Lâm Văn Bền,"205 Lâm Văn Bền, P. Bình Thuận, Quận 7, TP. HCM",09:00 - 21:18,30.000 - 40.000,Quận 7,40000,30000,10.0,1
1145,Chị Tuyết - Bánh Tráng Trộn - Nguyễn Thị Thập,"Hẻm 103/7D Nguyễn Thị Thập, P. Tân Phú, Quận 7, TP. HCM",,15.000 - 30.000,Quận 7,30000,15000,6.333333333333333,3
1146,Vua Bún Mọc Hà Nội - Hoàng Quốc Việt,"32K Hoàng Quốc Việt, P. Phú Mỹ, Quận 7, TP. HCM",06:00 - 21:00,2.000 - 70.000,Quận 7,70000,2000,10.0,1
1147,Hẻm Đậu - Bún Đậu Mắm Tôm - Đường Số 17,"159 Đường Số 17, P. Tân Quy, Quận 7, TP. HCM",09:00 - 22:00,20.000 - 50.000,Quận 7,50000,20000,9.399999999999999,2
1148,Texas Chicken - Phạm Thái Bường,"228 Phạm Thái Bường, Phú Mỹ Hưng, Quận 7, TP. HCM",,50.000 - 220.000,Quận 7,220000,50000,7.228,100
1149,Otoké Chicken - Gà Rán Hàn Quốc - Huỳnh Tấn Phát,"547 Huỳnh Tấn Phát, P. Phú Thuận, Quận 7, TP. HCM",,29.000 - 300.000,Quận 7,300000,29000,8.488372093023257,86
1150,"Quán Đầu Bếp - Cơm Gà Xối Mỡ, Cơm Chiên & Hủ Tiếu Mì Xào","502/5 Huỳnh Tấn Phát, P. Bình Thuận, Quận 7, TP. HCM",,27.000 - 27.000,Quận 7,27000,27000,9.8,2
1151,Dinh Ý - Cơm Gà Xối Mỡ - Số 23,"64 Số 23, P. Tân Quy, Quận 7, TP. HCM",08:30 - 21:15,5.000 - 30.000,Quận 7,30000,5000,5.907692307692307,13
1152,"3 Râu - Gà Rán, Pizza & Trà Sữa - 309 Lê Văn Lương","309 Lê Văn Lương, P. Tân Quy, Quận 7, TP. HCM",,12.000 - 120.000,Quận 7,120000,12000,5.3999999999999995,3
1153,Burger King - Phú Mỹ Hưng,"952 Nguyễn Văn Linh, P. Tân Phong, Quận 7, TP. HCM",,80.000 - 121.000,Quận 7,121000,80000,6.096969696969697,33
